Chest,Shoulders,Quads,Hamstrings,Upper Back,Calves,Triceps,Biceps,Abs,Lower Back,Trapezius
Bent-Arm Pullover,Bent-Over Low-Pulley Side Lateral,Front (no weight),,Medium-Grip Front,,Skullcrusher/Nosebreaker,Hammer Curl,Side Crunch,,
Medium-Grip Straight-Arm Barbell,Bent-Over one-Arm Rear Deltoid,Side (no weight),,Wide-Grip Rear,,Weighted Dip,Barbell Curl,Cable Twist,,
Medium-Grip on Floor,Standing Dumbbell Straight-Arm Front Deltoid,Alternated Leg Barbell,,Medium-Grip Rear,,Cable Push-Down,Inverted Rows,Cable Crunch,,
"Weighted Medium-Grip, Feet on Bench",Front Raise,Barbell Front,,Reverse Close-Grip Front,,Dumbbell Kickback,Zottman Curl,Hanging Dumbbell Knee Raise,,
"Medium-Grip, Feet on Bench",Standing Overhead Press,Dumbbell Side,,Straight-Arm Close-Grip Pulldown,,Overhead Dumbbell Extension,Weighted Chin-Up,Landmine,,
"Weighted Medium-Grip, Feet on Floor",Seated Overhead Press,Dumbbell Front,,Bent-Over Row,,,Incline Bench Curl,Ab-Wheel Rollout,,
Barbell Bench Press,Arnold Press,One-Leg Thigh Extension on Machine,,Weighted Pull-Up,,,Preacher Curl on Scott Bench,Weighted Decline Sit-Up,,
Incline Barbell Bench Press,Bent-Over Reverse Flye,Two-Leg Thigh Extension on Machine,,Wide-Grip Pull-Up,,,Cable Curl,Bicycle,,
Dumbbell Bench Press,Lateral Raise,Seated Two-Leg,,Standing T-Bar Row,,,,Flag,,
Incline Dumbbell Bench Press,Front Raise,Seated One-Leg,,Wide-Grip Pull-Down,,,,,,
Weighted Dips,Handstand Push-Up,Lying Two-Leg,,Close-Grip Pull Down,,,,,,
Decline Bench Press,,Lying One-Leg,,Seated Cable Row,,,,,,
Bent-Arm Pullover and Press,,Step-Ups With Barbell,,,,,,,,
