Sport,WEEK 1,,,,,WEEK 2,,,,,WEEK 3,,,,,WEEK 4,,,,,WEEK 5,,,,,WEEK 6,,,,,WEEK 7,,,,
Powerlifting,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST,PoST
,PoST,PoST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,PoST,PoST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,PoST,PoST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PoST,PoST,SST
,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST
Soccer,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,SST,SST,PrST,PrST
,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST
,SST,SST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,SST,SST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,SST,SST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,SST,SST,SST
Tennis,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST
,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST
,SST,SST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,SST,SST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,SST,SST,SST,SST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,SST,SST,SST
Ultra-Endurance Sports,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST,PrST
Volleyball,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST,PoST,PoST,PoST,SST,SST
Wrestling,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST,SST,SST,SST,PrST,PrST,SST,SST,SST,PoST,PoST,PoST,PrST,PrST,PoST,PoST,PoST
Weightlifting,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PrST,PrST,PoST,PoST,PoST,PoST,PoST,PoST,SST,SST,PrST,PrST,SST,SST,PoST,PoST,PoST
